Sex,occode,level3,Change_exit_pp,DiD_beta_pp,DiD_percentile,DiD_beta_type,N_1851_61,N_1861_81,Exit_1851_61_pp,Exit_1861_81_pp,Exit_1851_61,Exit_1861_81,DiD_beta_pp.x,DiD_beta_pp.y
Men,660,BUTTON MAKERS,6.1562907869585,,67.5324675324675,Occupation placebo DiD,829,561,53.5585042219542,59.7147950089127,0.535585042219542,0.597147950089127,-1.51372501123518,-1.51372501123518
Men,486,TALLOW CHANDLERS CANDLE AND GREASE MANUFACTURE,6.04622627759493,,62.7705627705628,Occupation placebo DiD,961,614,54.2143600416233,60.2605863192183,0.542143600416233,0.602605863192182,-2.40525384739268,-2.40525384739268
Men,412,BRICKLAYER,5.89006171300367,,59.7402597402597,Occupation placebo DiD,13575,11367,29.0092081031308,34.8992698161344,0.290092081031308,0.348992698161344,-2.74447768039776,-2.74447768039776
Men,543,"PUBLISHERS, BOOKSELLERS AND LIBRARIANS (EXCEPT PUBLIC LIBRARIANS)",5.80144579988183,,70.5627705627706,Occupation placebo DiD,1112,828,67.2661870503597,73.0676328502416,0.672661870503597,0.730676328502416,-0.897386595560242,-0.897386595560242
Men,681,SLAUGHTERER,5.72919672919673,,66.6666666666667,Occupation placebo DiD,825,756,91.7575757575758,97.4867724867725,0.917575757575758,0.974867724867725,-1.59877798644367,-1.59877798644367
Men,182,WOODMAN,5.64566887336868,,60.6060606060606,Occupation placebo DiD,2334,1921,61.6109682947729,67.2566371681416,0.616109682947729,0.672566371681416,-2.68633517269133,-2.68633517269133
Men,343,WHITESMITHS,5.54443180827653,,54.978354978355,Occupation placebo DiD,3146,2487,62.0470438652257,67.5914756735022,0.620470438652257,0.675914756735022,-3.39833928933344,-3.39833928933344
Men,555,COTTON & COTTON GOODS MANUFACTURE UNDEFINED,5.49328022813069,,60.1731601731602,Occupation placebo DiD,2271,4386,82.6508146191105,88.1440948472412,0.826508146191105,0.881440948472412,-2.74412843580878,-2.74412843580878
Men,259,"IRONFOUNDER -- MOULDERS, CORE MAKERS, FETTER, CUPOLA, OVERN-MAN, FOUNDRY LABOURER, OTHER & UNDEFINED",5.45942376890618,,51.5151515151515,Occupation placebo DiD,4484,7120,53.8804638715433,59.3398876404494,0.538804638715433,0.593398876404494,-3.73693853253714,-3.73693853253714
Men,409,"CARPENTER, JOINER",5.42706497702222,,48.9177489177489,Occupation placebo DiD,42240,35080,30.1231060606061,35.5501710376283,0.301231060606061,0.355501710376283,-4.1254139026818,-4.1254139026818
Men,461,OTHER WORKERS IN WOOD,5.41580901502132,,58.8744588744589,Occupation placebo DiD,833,862,76.9507803121249,82.3665893271462,0.769507803121249,0.823665893271462,-2.86650466483099,-2.86650466483099
Men,766,"ENGINE DRIVERS, STOKERS, FIREMEN (NOT RAILWAY, MARINE, OR AGRICULTURAL)",5.36975287771546,,65.8008658008658,Occupation placebo DiD,6778,6789,67.7043375627029,73.0740904404183,0.677043375627029,0.730740904404183,-1.91306138338109,-1.91306138338109
Men,168,WAREHOUSEMEN (NOT MANCHESTER GOODS),5.28458705076329,,55.8441558441558,Occupation placebo DiD,3830,3798,80.3394255874674,85.6240126382307,0.803394255874674,0.856240126382307,-3.30553539314756,-3.30553539314756
Men,143,WATER CARRIERS,5.25616131441374,,64.9350649350649,Occupation placebo DiD,1030,650,91.3592233009709,96.6153846153846,0.913592233009709,0.966153846153846,-1.99927844752506,-1.99927844752506
Men,440,UPHOLSTERER,5.23681463104408,,54.5454545454546,Occupation placebo DiD,994,927,47.0824949698189,52.319309600863,0.470824949698189,0.52319309600863,-3.40982567936049,-3.40982567936049
Men,682,BUTCHERS AND MEAT SALESMEN,5.13599246487861,,50.2164502164502,Occupation placebo DiD,15698,11036,44.0756784303733,49.2116708952519,0.440756784303733,0.492116708952519,-3.84012892751654,-3.84012892751654
Men,84,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,4.9175432607357,,52.8138528138528,Occupation placebo DiD,15099,10485,85.058613153189,89.9761564139247,0.85058613153189,0.899761564139247,-3.68167668788806,-3.68167668788806
Men,132,RAILWAY LABOURER (NOT RAILWAY CONTRACTOR'S LABOURER),4.80181936322288,,58.008658008658,Occupation placebo DiD,4860,4484,85.9876543209876,90.7894736842105,0.859876543209877,0.907894736842105,-2.94637264133442,-2.94637264133442
Men,253,PATTERNMAKERS (ENGINE AND MACHINE MAKING (UNDEFINED - NOT TEXTILE),4.72451790633609,,52.3809523809524,Occupation placebo DiD,605,660,79.6694214876033,84.3939393939394,0.796694214876033,0.843939393939394,-3.72586430315252,-3.72586430315252
Men,171,"MESSENGER, PORTER, WATCHMAN (NOT RAILWAY OR GOVERNMENT)",4.58762507465288,,59.3073593073593,Occupation placebo DiD,10633,7911,85.3757171071194,89.9633421817722,0.853757171071193,0.899633421817722,-2.76003336571456,-2.76003336571456
Men,125,"RAILWAY OFFICIAL - INSPECTORS, SUPERVISORS, CLERK",4.52561983471074,,49.7835497835498,Occupation placebo DiD,2000,3025,68.4,72.9256198347107,0.684,0.729256198347107,-3.90079559777405,-3.90079559777405
Men,425,"PLUMBER, PIPE FITTER",4.47600882093829,,39.8268398268398,Occupation placebo DiD,4807,4266,39.5464946952361,44.0225035161744,0.395464946952361,0.440225035161744,-5.33541410804416,-5.33541410804416
Men,386,WATCH AND CLOCK MAKERS,4.47526211771011,,43.2900432900433,Occupation placebo DiD,4464,3852,28.494623655914,32.9698857736241,0.28494623655914,0.329698857736241,-4.92079887266988,-4.92079887266988
Men,467,"EARTHENWARE, CHINA, PORCELAIN--MANUFACTURE",4.38709054818681,,46.3203463203463,Occupation placebo DiD,5504,3547,45.4578488372093,49.8449393853961,0.454578488372093,0.498449393853961,-4.36220852819787,-4.36220852819787
Men,722,WINE AND SPIRIT MERCHANTS,4.37403993855607,,49.3506493506494,Occupation placebo DiD,1240,840,56.9354838709678,61.3095238095238,0.569354838709677,0.613095238095238,-4.00746736286933,-4.00746736286933
Men,133,RAILWAY PORTER,4.36633928823413,,45.021645021645,Occupation placebo DiD,2286,3224,82.3272090988627,86.6935483870968,0.823272090988627,0.866935483870968,-4.48179009729857,-4.48179009729857
Men,173,"FARMER, GRAZIER",4.33793953700822,,54.1125541125541,Occupation placebo DiD,76174,44723,26.4985428098826,30.8364823468909,0.264985428098826,0.308364823468909,-3.42021827718485,-3.42021827718485
